,Unnamed: 0_x,title_x,year_x,time,type_x,Unnamed: 0_y,title_y,year_y,hour,type_y
7690,,,,162830,,4246.0,bunnymama,2013.0,16.0,like
7691,,,,162747,,4247.0,boycutter_,2013.0,16.0,like
7692,,,,162731,,4248.0,kenziethehappyfairy,2013.0,16.0,like
7693,,,,162714,,4249.0,hoecastic,2013.0,16.0,like
7694,,,,162714,,15562.0,hamiltonmusical,2017.0,16.0,like
7695,,,,162701,,4250.0,kevinzegers1984,2013.0,16.0,like
7696,,,,162701,,15563.0,foreverfeminism,2017.0,16.0,like
7697,,,,162701,,42848.0,anemosswim,2022.0,16.0,like
7698,,,,162543,,4251.0,bunnymama,2013.0,16.0,like
7699,,,,55859,,4252.0,michellephan,2013.0,5.0,like
7700,,,,55818,,4253.0,psitskayla,2013.0,5.0,like
7701,,,,55818,,26174.0,shesfarrout,2020.0,5.0,like
7702,,,,55809,,4254.0,ladyoferudite,2013.0,5.0,like
7703,,,,55727,,4255.0,liamspersonal,2013.0,5.0,like
7704,,,,55703,,4256.0,boycutter_,2013.0,5.0,like
7705,,,,55545,,4257.0,selenagomez,2013.0,5.0,like
7706,,,,55545,,26598.0,meghancurrrie,2020.0,5.0,like
7707,,,,55518,,4258.0,ashtonirwin94,2013.0,5.0,like
7708,,,,55518,,24270.0,meghancurrrie,2020.0,5.0,like
7709,,,,55454,,4259.0,liamspersonal,2013.0,5.0,like
7710,,,,55450,,4260.0,weinspireyourfashion,2013.0,5.0,like
7711,,,,55352,,4261.0,boycutter_,2013.0,5.0,like
7712,,,,55352,,42468.0,byrdie,2022.0,5.0,like
7713,,,,220414,,4263.0,thehungergames,2013.0,22.0,like
7714,,,,175427,,4264.0,rooneyojr,2013.0,17.0,like
7715,,,,175427,,25078.0,cassdimicco,2020.0,17.0,like
7716,,,,175257,,4265.0,weinspireyourfashion,2013.0,17.0,like
7717,,,,175250,,4266.0,kenziethehappyfairy,2013.0,17.0,like
7718,,,,175250,,22875.0,kamilahansen,2019.0,17.0,like
7719,,,,175250,,28951.0,isthisfate,2020.0,17.0,like
7720,,,,175213,,4267.0,lottietomlinson,2013.0,17.0,like
7721,,,,174956,,4268.0,thehungergames,2013.0,17.0,like
7722,,,,174956,,25200.0,lifeoflaurenashley,2020.0,17.0,like
7723,,,,174953,,4269.0,ladyoferudite,2013.0,17.0,like
7724,,,,174953,,4568.0,cassadeepope,2013.0,17.0,like
7725,,,,174636,,4271.0,ikisspayne,2013.0,17.0,like
7726,,,,174441,,4272.0,ashtonirwin94,2013.0,17.0,like
7727,,,,174441,,34068.0,devonleecarlson,2021.0,17.0,like
7728,,,,170127,,4273.0,justgirlythingsxx,2013.0,17.0,like
7729,,,,170127,,21882.0,carodaur,2019.0,17.0,like
7730,,,,40924,,4274.0,perseajackson,2013.0,4.0,like
7731,,,,40924,,4649.0,sexualsounds,2013.0,4.0,like
7732,,,,40924,,31366.0,reginaanikiy,2020.0,4.0,like
7733,,,,30614,,4275.0,pweenis,2013.0,3.0,like
7734,,,,30610,,4276.0,pweenis,2013.0,3.0,like
7735,,,,30603,,4277.0,pweenis,2013.0,3.0,like
7736,,,,30556,,4278.0,pweenis,2013.0,3.0,like
7737,,,,30510,,4279.0,pweenis,2013.0,3.0,like
7738,,,,30437,,4280.0,pweenis,2013.0,3.0,like
7739,,,,30424,,4281.0,pweenis,2013.0,3.0,like
7740,,,,30409,,4282.0,pweenis,2013.0,3.0,like
7741,,,,30402,,4283.0,pweenis,2013.0,3.0,like
7742,,,,30359,,4284.0,pweenis,2013.0,3.0,like
7743,,,,30354,,4285.0,pweenis,2013.0,3.0,like
7744,,,,30354,,29600.0,sofiamcoelho,2020.0,3.0,like
7745,,,,30344,,4286.0,pweenis,2013.0,3.0,like
7746,,,,30329,,4287.0,pweenis,2013.0,3.0,like
7747,,,,30329,,14367.0,brandymelvilleusa,2017.0,3.0,like
7748,,,,30329,,40178.0,emmysyummys,2022.0,3.0,like
